air_temperature_2m,relative_humidity_2m,snowfall_amount_acc,time,x_wind_10m,y_wind_10m
268.424561,0.868437,0.000000,01/04/2023 00:00:00,0.300850,-2.382514
267.929047,0.869720,0.039103,01/04/2023 01:00:00,0.152142,-2.623582
266.381226,0.879852,0.112630,01/04/2023 04:00:00,0.680576,-2.917674
266.028809,0.879262,0.128174,01/04/2023 05:00:00,0.944177,-2.714055
265.768311,0.880041,0.143880,01/04/2023 06:00:00,0.838840,-3.106410
265.242798,0.878144,0.149740,01/04/2023 07:00:00,0.758808,-3.010631
264.352783,0.881678,0.150228,01/04/2023 08:00:00,0.862460,-2.935122
263.764160,0.873917,0.150065,01/04/2023 09:00:00,1.177883,-2.637853
263.777008,0.864065,0.150065,01/04/2023 10:00:00,1.652979,-2.290050
263.967346,0.843526,0.150716,01/04/2023 11:00:00,1.482642,-2.412682
263.826721,0.840276,0.150391,01/04/2023 12:00:00,1.309416,-2.554861
263.058868,0.850148,0.150065,01/04/2023 13:00:00,1.157167,-2.518648
262.279449,0.859715,0.150391,01/04/2023 14:00:00,0.843154,-2.640274
261.583740,0.865595,0.150391,01/04/2023 15:00:00,0.623597,-2.515351
260.988525,0.870564,0.150391,01/04/2023 16:00:00,0.243233,-2.682310
260.470428,0.877247,0.151367,01/04/2023 17:00:00,-0.044156,-2.559301
260.057159,0.878255,0.152344,01/04/2023 18:00:00,-0.047416,-2.440675
259.683868,0.879313,0.152669,01/04/2023 19:00:00,-0.104088,-2.439013
259.423584,0.879166,0.152995,01/04/2023 20:00:00,0.149886,-2.239530
259.252075,0.878769,0.152995,01/04/2023 21:00:00,0.076360,-2.290979
259.107025,0.879883,0.153320,01/04/2023 22:00:00,0.131310,-2.460527
259.114624,0.880585,0.153320,01/04/2023 23:00:00,-0.493556,-2.788416
267.932709,0.874683,0.000000,01/03/2023 00:00:00,-0.952702,-0.210868
268.316498,0.861215,0.029134,01/03/2023 01:00:00,-0.343491,-0.892739
268.495453,0.857324,0.033366,01/03/2023 02:00:00,-1.139886,-0.795568
268.604614,0.855457,0.033936,01/03/2023 03:00:00,-1.140739,-1.208308
268.505585,0.851805,0.034017,01/03/2023 04:00:00,-0.730099,-1.885999
268.358154,0.839741,0.034017,01/03/2023 06:00:00,-0.817554,-2.448796
268.111938,0.841775,0.034017,01/03/2023 07:00:00,-0.026149,-2.352720
267.910950,0.845315,0.034180,01/03/2023 08:00:00,0.283949,-2.362222
267.702698,0.850859,0.034180,01/03/2023 09:00:00,0.004631,-2.200120
267.649567,0.846831,0.034180,01/03/2023 10:00:00,0.557577,-2.378201
267.757294,0.841490,0.034180,01/03/2023 11:00:00,0.766245,-2.430072
267.474365,0.837793,0.034180,01/03/2023 13:00:00,0.823940,-2.280000
267.256042,0.844130,0.034180,01/03/2023 14:00:00,1.230964,-2.383434
267.028717,0.840824,0.034180,01/03/2023 15:00:00,1.059332,-2.052766
266.876587,0.837813,0.034180,01/03/2023 16:00:00,0.790048,-1.960182
266.607147,0.848088,0.034180,01/03/2023 17:00:00,0.648506,-1.566148
266.707581,0.850977,0.034180,01/03/2023 18:00:00,0.424782,-1.329870
266.822052,0.857660,0.048177,01/03/2023 19:00:00,0.308306,-1.165083
266.829163,0.861612,0.090820,01/03/2023 20:00:00,0.618523,-1.239033
266.796539,0.859863,0.175781,01/03/2023 21:00:00,0.844591,-1.750097
266.902344,0.868631,0.353516,01/03/2023 22:00:00,0.738617,-1.647792
267.167297,0.872578,0.603190,01/03/2023 23:00:00,0.478148,-1.558687
263.096436,0.881485,0.000000,01/06/2023 00:00:00,0.193602,-2.896033
262.626923,0.878906,0.001628,01/06/2023 01:00:00,0.193226,-2.600780
262.103119,0.883132,0.002523,01/06/2023 02:00:00,0.953627,-2.302071
261.472260,0.892461,0.002767,01/06/2023 03:00:00,1.100287,-2.208420
260.817352,0.895299,0.002930,01/06/2023 04:00:00,1.479754,-2.044721
260.409241,0.889582,0.002930,01/06/2023 05:00:00,1.581336,-2.092837
260.014343,0.884989,0.002930,01/06/2023 06:00:00,1.111656,-1.944423
259.606934,0.876011,0.003255,01/06/2023 07:00:00,1.246105,-1.458470
259.285461,0.858550,0.003255,01/06/2023 09:00:00,1.242818,-1.297556
259.822906,0.847091,0.003255,01/06/2023 10:00:00,1.178085,-1.128525
260.363647,0.846653,0.003255,01/06/2023 11:00:00,0.912577,-1.112312
260.436279,0.851088,0.003255,01/06/2023 12:00:00,0.447820,-0.987458
259.892731,0.865706,0.003255,01/06/2023 13:00:00,0.074860,-0.435755
259.093658,0.878142,0.002930,01/06/2023 14:00:00,0.449226,-0.191013
258.471558,0.871306,0.002930,01/06/2023 15:00:00,0.481244,-0.187571
257.988525,0.870024,0.002930,01/06/2023 16:00:00,0.320410,-0.329506
257.405487,0.862552,0.003255,01/06/2023 17:00:00,0.033156,-0.310067
256.703491,0.864556,0.003255,01/06/2023 19:00:00,0.060518,-0.335374
256.404358,0.853214,0.003255,01/06/2023 20:00:00,-0.150702,-0.134021
256.272888,0.833072,0.003255,01/06/2023 21:00:00,-0.239855,-0.067976
256.251648,0.800490,0.003255,01/06/2023 22:00:00,-0.239973,0.039003
256.295654,0.790694,0.003255,01/06/2023 23:00:00,-0.636308,-0.099622
264.331848,0.714834,0.000000,01/08/2023 00:00:00,-2.646383,2.657683
264.433319,0.682608,0.011841,01/08/2023 01:00:00,-3.346596,3.073578
264.388367,0.671795,0.034465,01/08/2023 02:00:00,-3.232746,2.896863
264.327484,0.692491,0.065837,01/08/2023 03:00:00,-3.252166,3.286157
264.391663,0.714133,0.117025,01/08/2023 04:00:00,-3.396502,3.283987
264.247498,0.730180,0.289062,01/08/2023 06:00:00,-3.781079,3.074106
264.116547,0.714606,0.309896,01/08/2023 07:00:00,-4.034348,3.124524
263.961761,0.708914,0.310221,01/08/2023 08:00:00,-3.856543,3.257134
263.951080,0.710465,0.310221,01/08/2023 09:00:00,-3.690247,3.243239
264.043365,0.707815,0.310547,01/08/2023 10:00:00,-3.899117,3.275385
264.184448,0.710531,0.312500,01/08/2023 11:00:00,-3.968477,3.319183
264.304474,0.715704,0.339518,01/08/2023 12:00:00,-4.037196,3.331630
264.354828,0.718913,0.404948,01/08/2023 13:00:00,-4.125742,3.385554
264.390472,0.727382,0.528646,01/08/2023 14:00:00,-4.312592,3.344971
264.499237,0.735271,0.718750,01/08/2023 15:00:00,-4.441051,3.321674
264.548035,0.768083,1.460938,01/08/2023 17:00:00,-4.542178,3.320064
264.511597,0.777025,1.930339,01/08/2023 18:00:00,-4.709286,3.221309
264.522247,0.789868,2.457682,01/08/2023 19:00:00,-4.546164,3.219559
264.601379,0.799262,2.838542,01/08/2023 20:00:00,-4.479425,3.275103
264.636841,0.808692,3.257812,01/08/2023 21:00:00,-4.747412,3.179097
264.665924,0.809434,3.574219,01/08/2023 22:00:00,-4.969486,3.076712
264.590881,0.803188,3.715495,01/08/2023 23:00:00,-4.973337,2.924974
276.620178,0.859874,0.000000,01/01/2023 00:00:00,5.085268,3.212537
275.834991,0.875789,0.000000,01/01/2023 01:00:00,5.444436,1.319815
275.442413,0.871110,0.000000,01/01/2023 02:00:00,5.611001,0.830981
275.129974,0.834499,0.000000,01/01/2023 03:00:00,6.129576,0.138215
274.221161,0.849778,0.000000,01/01/2023 04:00:00,4.706303,0.763017
273.384674,0.872366,0.000000,01/01/2023 05:00:00,4.638376,1.619104
272.180298,0.878123,0.000000,01/01/2023 07:00:00,4.514354,0.833924
271.669861,0.878418,0.000000,01/01/2023 08:00:00,4.425520,1.085805
271.542603,0.870569,0.000000,01/01/2023 09:00:00,4.610743,0.894567
271.686340,0.852935,0.000000,01/01/2023 10:00:00,5.301258,0.508193
271.844116,0.836206,0.000000,01/01/2023 11:00:00,5.610535,0.507009
271.749451,0.820174,0.000000,01/01/2023 12:00:00,5.716445,0.004721
271.417786,0.816227,0.000000,01/01/2023 13:00:00,5.453152,-0.331217
271.026154,0.825184,0.000000,01/01/2023 14:00:00,5.325533,-0.127019
270.812317,0.813908,0.000000,01/01/2023 15:00:00,5.580523,-0.269985
270.680817,0.806792,0.000000,01/01/2023 16:00:00,5.701121,-0.561062
270.442200,0.805470,0.000000,01/01/2023 17:00:00,5.515604,-0.955830
270.059418,0.796177,0.000000,01/01/2023 19:00:00,4.735734,-0.842408
269.976868,0.793914,0.000000,01/01/2023 20:00:00,4.465655,-0.620110
269.952942,0.808033,0.000000,01/01/2023 21:00:00,5.033991,-0.642250
270.016663,0.827117,0.000000,01/01/2023 22:00:00,4.929764,-0.712257
270.136261,0.846786,0.000000,01/01/2023 23:00:00,5.483515,-0.549357
260.103638,0.829354,0.000000,01/07/2023 00:00:00,-0.427806,-0.535408
260.304291,0.834064,0.000000,01/07/2023 01:00:00,-0.973314,0.175731
260.245728,0.848199,0.000366,01/07/2023 02:00:00,-0.915857,0.208613
260.290466,0.849547,0.000488,01/07/2023 03:00:00,-0.867502,0.455728
260.460510,0.865767,0.000488,01/07/2023 04:00:00,-1.280203,0.482335
261.156158,0.859959,0.000488,01/07/2023 05:00:00,-1.397697,0.888612
261.719147,0.853821,0.000488,01/07/2023 06:00:00,-1.501289,1.006314
262.094666,0.853974,0.000488,01/07/2023 07:00:00,-1.748564,1.284676
262.531708,0.860830,0.000488,01/07/2023 08:00:00,-2.040224,1.505614
263.253082,0.846359,0.000488,01/07/2023 09:00:00,-1.866030,1.865420
264.337616,0.822586,0.001139,01/07/2023 10:00:00,-1.901880,2.520397
265.174225,0.773107,0.001139,01/07/2023 11:00:00,-1.741698,3.282670
265.401245,0.742584,0.001139,01/07/2023 12:00:00,-1.812586,3.537286
265.342499,0.726196,0.001139,01/07/2023 13:00:00,-1.995957,3.435261
265.195557,0.723125,0.000977,01/07/2023 14:00:00,-2.105515,3.242173
265.138336,0.712917,0.000977,01/07/2023 15:00:00,-2.143620,3.287966
265.108521,0.702363,0.000977,01/07/2023 16:00:00,-2.180846,3.346999
264.987457,0.712887,0.001302,01/07/2023 17:00:00,-2.340947,3.180814
264.773102,0.711625,0.001302,01/07/2023 19:00:00,-2.485945,2.974949
264.649536,0.709825,0.001302,01/07/2023 20:00:00,-2.522331,2.992667
264.535645,0.702719,0.001302,01/07/2023 21:00:00,-2.457937,2.826760
264.436584,0.700812,0.001302,01/07/2023 22:00:00,-2.435434,2.619139
264.298737,0.711066,0.001302,01/07/2023 23:00:00,-2.483246,2.445793
259.129608,0.883387,0.000000,01/05/2023 00:00:00,0.280017,-2.325079
258.990173,0.883001,0.001139,01/05/2023 01:00:00,0.744263,-1.958508
258.822083,0.878433,0.001628,01/05/2023 02:00:00,0.803707,-1.882284
258.712830,0.875580,0.002035,01/05/2023 03:00:00,0.761611,-1.949890
258.731415,0.881979,0.002523,01/05/2023 04:00:00,0.567132,-2.105719
258.786682,0.873022,0.003174,01/05/2023 05:00:00,0.831513,-2.027383
258.954163,0.875011,0.004069,01/05/2023 06:00:00,0.609522,-2.043089
259.320251,0.881242,0.006104,01/05/2023 07:00:00,0.311354,-2.331093
259.493927,0.887493,0.006755,01/05/2023 08:00:00,0.201785,-2.458061
259.933075,0.888805,0.007243,01/05/2023 09:00:00,0.150077,-2.638139
260.752655,0.881277,0.007324,01/05/2023 10:00:00,0.014099,-2.900249
261.463806,0.875916,0.008138,01/05/2023 11:00:00,0.133719,-2.874179
261.659302,0.874701,0.010417,01/05/2023 12:00:00,0.037452,-2.953111
261.403595,0.878805,0.010905,01/05/2023 13:00:00,0.027250,-2.847231
260.916595,0.882264,0.011393,01/05/2023 14:00:00,0.094166,-2.737231
260.616364,0.888215,0.013021,01/05/2023 15:00:00,-0.041648,-2.763820
260.209259,0.885758,0.013835,01/05/2023 16:00:00,0.102206,-2.639845
259.692719,0.891475,0.015299,01/05/2023 17:00:00,0.293276,-2.557717
259.348938,0.892279,0.016602,01/05/2023 18:00:00,0.379160,-2.528620
258.883789,0.887991,0.017253,01/05/2023 19:00:00,0.721766,-2.438325
258.246552,0.876043,0.017578,01/05/2023 20:00:00,1.179644,-2.127195
257.680786,0.869075,0.017904,01/05/2023 21:00:00,1.319324,-1.969233
257.242523,0.871532,0.018555,01/05/2023 22:00:00,1.358676,-1.874231
256.835938,0.862605,0.019206,01/05/2023 23:00:00,1.589853,-1.523910
270.373169,0.858255,0.000000,01/02/2023 00:00:00,5.621494,-0.212010
270.770020,0.854374,0.000081,01/02/2023 01:00:00,4.660220,-1.017069
270.950592,0.855997,0.000081,01/02/2023 02:00:00,4.161281,-0.402897
271.166199,0.861124,0.000163,01/02/2023 03:00:00,4.376394,-0.454721
271.414154,0.851628,0.000163,01/02/2023 04:00:00,4.247879,-0.705751
271.496124,0.838313,0.000163,01/02/2023 05:00:00,3.847104,-0.519536
271.087463,0.841543,0.000163,01/02/2023 06:00:00,3.303411,-0.374154
270.130768,0.855723,0.000163,01/02/2023 07:00:00,2.776344,0.284389
269.408508,0.861522,0.000163,01/02/2023 08:00:00,2.506160,0.586121
269.206726,0.859914,0.000163,01/02/2023 09:00:00,2.305141,0.533001
269.376282,0.860469,0.000163,01/02/2023 10:00:00,2.149125,0.400472
269.536896,0.860545,0.000163,01/02/2023 11:00:00,2.051949,0.303467
269.429169,0.873911,0.000163,01/02/2023 12:00:00,2.725214,0.876181
268.963440,0.887003,0.000000,01/02/2023 13:00:00,1.516633,0.631955
268.779846,0.891637,0.000000,01/02/2023 14:00:00,0.098214,0.865568
268.820129,0.911494,0.000000,01/02/2023 16:00:00,-0.565856,1.012297
268.777893,0.920593,0.000000,01/02/2023 17:00:00,-1.017845,0.313364
268.908173,0.924687,0.000000,01/02/2023 18:00:00,-0.959372,0.522213
269.253662,0.916839,0.000000,01/02/2023 19:00:00,-1.104628,-0.208263
269.709320,0.907241,0.000000,01/02/2023 20:00:00,-0.827167,-0.146238
270.075745,0.896504,0.000000,01/02/2023 21:00:00,-0.731940,-0.121091
270.487732,0.877308,0.000651,01/02/2023 22:00:00,-1.110839,-0.406309
270.797119,0.862045,0.013021,01/02/2023 23:00:00,-1.196100,-0.412851
264.818032,0.837436,0.157976,nan,0.353466,-0.284785
